season,year,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
Spring,2014,3.8369565217391304,497.1000006124377,156.81521739130434,26.3,11.664130392281905,-1.2,170.40000000596046,101520.32608695653,0
Summer,2014,3.532608695652174,650.2000013962388,218.59782608695653,30.3,18.326086987619814,7.3,188.400003105402,101527.5,0
Winter,2014,4.4,231.60000026971102,39.22222222222222,14.9,6.812222219175762,-4.1,290.0000007003546,100671.44444444444,0
Autumn,2015,5.449438202247191,276.40000119805336,74.82022471910112,22.3,12.562921349921924,-1.4,137.80000130832195,101690.22471910113,0
Spring,2015,3.7282608695652173,541.7999997064471,166.31521739130434,24.6,10.720652175986249,-0.5,81.80000020563602,101913.58695652174,0
Summer,2015,4.793478260869565,520.8000007271767,192.8586956521739,36.7,17.938043573628303,7.1,200.7999964952469,101616.73913043478,0
Winter,2015,5.144444444444445,160.89999925345182,32.855555555555554,16.4,7.2222222432494165,-5.9,141.40000109374523,101648.44444444444,0
Autumn,2016,5.0989010989010985,305.09999940544367,74.43956043956044,32.8,12.483516448146695,-4.6,150.19999961555004,101783.07692307692,0
Spring,2016,5.086956521739131,485.9999999329448,157.52173913043478,26.8,10.19347826294277,-1.6,180.4000008404255,101391.52173913043,0
Summer,2016,5.2967032967032965,472.49999844282866,177.5164835164835,33.2,18.549450685689738,9,130.9999991953373,101656.92307692308,0
Winter,2016,5.329670329670329,196.6999987140298,36.494505494505496,15.3,6.397802206186148,-4.5,128.9999994635582,101553.2967032967,0
Autumn,2017,5.593406593406593,271.3999999165535,72.67032967032966,22.8,12.215384626126552,-1.3,102.39999984204769,101612.52747252748,0
Spring,2017,5.032967032967033,453.0000005364418,151.16483516483515,27.8,12.029670338054279,0.3,95.20000077784061,101799.45054945054,0
Summer,2017,5.136363636363637,506.70000172406435,187.2840909090909,34.5,18.5431818745353,8.8,195.0000002682209,101438.29545454546,0
Winter,2017,5.677777777777778,156.09999968856573,32.044444444444444,18.1,5.66444445202748,-4.5,179.59999984502792,101709.11111111111,1
Autumn,2018,4.527472527472527,404.9000005722046,87.62637362637362,25.3,12.479120851873041,-1.3,164.19999973475933,101709.01098901099,0
Spring,2018,5.326086956521739,431.99999874830246,137.82608695652175,28.5,11.143478220571643,-5.1,204.80000104010105,101011.41304347826,2
Summer,2018,4.043478260869565,689.1000010967255,179.3586956521739,35,20.172826072444085,8.2,63.40000058710575,101759.56521739131,0
Winter,2018,5.722222222222222,178.79999966174364,35.84444444444444,15.8,6.183333333995607,-5.4,147.60000059008598,101501,1
Autumn,2019,5.3076923076923075,282.1000003144145,74.14285714285714,26.6,11.964835214090872,-2.1,230.59999784827232,100994.28571428571,0
Spring,2019,5.065217391304348,465.3999993503094,153.81521739130434,27.6,11.22826081255208,-0.3,98.39999982714653,101593.04347826086,0
Summer,2019,4.739130434782608,565.7999980598688,182.29347826086956,37.9,18.927173884018607,8.4,166.20000013709068,101492.28260869565,0
Winter,2019,5.111111111111111,232.7999997138977,40.08888888888889,20.1,6.530000021639798,-5.2,156.99999931454659,101573.66666666667,2
